Where are you from?	How old are you?	What age did you start programming?	What is your current employment status?	Do you code outside of work/studying?	What is the highest level of education you have completed?	What do you value most in a job? [Good salary]	What do you value most in a job? [Tech stack/language choice]	What do you value most in a job? [Remote work]	What do you value most in a job? [Team events/parties]	What do you value most in a job? [Healthcare benefits]	What do you value most in a job? [Vacation days]	What do you value most in a job? [Career progression]	What do you value most in a job? [Work hour flexibility]	What do you value most in a job? [Free food]	What do you value most in a job? [Commute time]	What motivates you to program?	Which language(s) have you worked with in your studies, during employment, or at home?	Which language(s) would you say you are most proficient in?	What is your favourite language and why?	What is your least favourite language and why?	Which language/framework/tool would you like to learn over the next year?	If you work on personal projects, which of these best describes your approach?	How often do you contribute to open source projects?	Why do you contribute to open source projects?	Which of these statements do you most align with?	Would you be more likely to contribute to open source projects if TPH offered more contribution opportunities?	What language(s) would you like to see TPH make an open source project in?	Do you have any ideas for projects TPH could start?	Why have you not contributed to open source projects?	Which of our network servers are you a part of?	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are clear and understandable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are reasonable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation is fair]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation team communicate well]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like TPH's moderation style]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like the nickname policy]	What improvements would you like to suggest to the moderation team? (if any)	What spotlight would you like to see next on TPH? (It can be any language/framework/library/tool/technology)	What new channel you would like to see on TPH?	What is your favourite thing about TPH?	What is your least favourite thing about TPH?	Do you have any other comments you'd like to give to the moderation team?
Europe	13-17	< 13	Student (full time)	Yes	Primary/elementary School	Requirement	Somewhat important	Don't care	Somewhat important	Very important	Requirement	Requirement	Very important	Very important	Very important	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, C#, Kotlin, Assembly, Lisp, VHDL, forth, basic	C++, Python, C, C#, Kotlin, Assembly	Any low level language, I like low level :')	Javascript is kinda dodgy	More embedded, fpga, app dev, Web, and perhaps opengl	I commit to a project until I reach a defined end goal before moving on to the next	Less than once per month but more than once per year	To help others who are doing the same thing as me and come across it	I would like to contribute to more open source projects	Yes - If it was a language I know	All the ones I listed that I know	Just any popular open source tools	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Not sure	This information will be kept private.	N/A	A channel for hardware embedded and just low level stuff	This information will be kept private.	This information will be kept private.	This information will be kept private.
Asia	13-17	13 - 17	Employed (internship)	Yes	Primary/elementary School	Somewhat important	Somewhat important	Somewhat important	Don't care	Somewhat important	Somewhat important	Very important	Very important	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, Java, HTML, CSS	JavaScript	JavaScript, can work on both the front-end and back-end	assembly, reasons	C#.Net with Azure	I commit to a project until I reach a defined end goal before moving on to the next	Never	N/A	N/A	N/A	N/A	N/A	I don't have the time	DiscordKt	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	18-21	13 - 17	Just chilling during pandemic	Yes	Secondary/high school	Very important	Very important	Very important	Somewhat important	Somewhat important	Requirement	Very important	Very important	Don't care	Requirement	This information will be kept private.	JavaScript, C++, Python, HTML, CSS, C#, Rust	JavaScript, Python, C#	Python, a lot of people don't like its syntax, I got used to it and it's very useful in a lot of projects that I work on :) Very versatile and fast to code in, it was easy to pick up as well. Another benefit is a lot of online resources.	Java, I'm not even sure why, I just don't prefer it	Go, Rust, Assembly	I commit to a project until I reach a defined end goal before moving on to the next	A least once per month	Because I enjoy helping my friends with their ideas, they're usually useful!	I would like to contribute to more open source projects	Yes	Rust or Python, Go would be nice too	N/A	N/A	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Not sure	This information will be kept private.	Rust	Introductions	This information will be kept private.	This information will be kept private.	This information will be kept private.
Oceania	13-17	< 13	Student (full time)	Yes	Primary/elementary School	Requirement	Very important	Somewhat important	Don't care	Very important	Don't care	Somewhat important	Requirement	Don't care	Somewhat important	This information will be kept private.	C++, Python, C, Rust	Rust	Rust, the borrow checker is great :)	Python, because of dependencies in AUR	Rust	I start a project but quickly lose motivation and usually don't complete a project	Less than once per year	Came across a bug and want to contribute	I would like to contribute to more open source projects	Yes - If it was a language I know	Rust	N/A	N/A	None - I'm only in The Programmer's Hangout	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Oceania	18-21	18 - 21	Student (full time)	Yes	Secondary/high school	Requirement	Requirement	Requirement	Requirement	Requirement	Requirement	Requirement	Requirement	Requirement	Requirement	This information will be kept private.	C++, Python	C++, Python	Python, easy to use, easy to master	N/A	Python django, asp dot net core	I commit to a project until I reach a defined end goal before moving on to the next	Less than once per year	Experience	I'm happy with my current level of open source contribution	Yes	N/A	N/A	N/A	DiscordKt, Late Gaming, The Pentester's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	Python django	Scala	This information will be kept private.	This information will be kept private.	This information will be kept private.
Oceania	13-17	< 13	High School	No	Primary/elementary School	Very important	Requirement	Somewhat important	Somewhat important	Very important	Very important	Very important	Very important	Requirement	Very important	This information will be kept private.	JavaScript, TypeScript	JavaScript	Typescript because I love JavaScript but the type checking is so helpful.	I only use TS/Js, but Python because everyone else dislikes it	C# (For games)	I commit to a project until I reach a defined end goal before moving on to the next	Less than once per year	I don’t really but would love to!	I would like to contribute to more open source projects	Yes - If it was a language I know	Typescript	Making clones of stuff, like YouTube, google forums, etc	N/A	None - I'm only in The Programmer's Hangout	Somewhat	Somewhat	Somewhat	Somewhat	Somewhat	Strongly disagree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
North America	18-21	13 - 17	Student (full time)	Yes	Bachelor's degree	Somewhat important	Somewhat important	Don't care	Don't care	Very important	Very important	Very important	Very important	Don't care	Very important	This information will be kept private.	Python, C, HTML, CSS	Python, C	Python, because of its simplicity, ease-of-use and high userbase.	N/A	C++	I have lots of projects on the go. Switching between them keeps me motivated	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability, I don't have the time, I am still a bit of a beginner with coding, still trying to understand programming better before I delve into the open source space.	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	Robotics, Quantum computing, Scientific computing, Hardware	Scientific computing or robotics	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	13-17	13 - 17	Student (full time)	Yes	Secondary/high school	Very important	Somewhat important	Don't care	Somewhat important	Somewhat important	Somewhat important	Very important	Somewhat important	Somewhat important	Somewhat important	This information will be kept private.	Python	Python	Python, well, it is easy	I am not that experienced	N/A	I commit to a project until I reach a defined end goal before moving on to the next	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability	None - I'm only in The Programmer's Hangout	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Somewhat	Strongly Agree	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Asia	13-17	13 - 17	Student (full time)	Yes	Primary/elementary School	Very important	Somewhat important	Don't care	Don't care	Very important	Somewhat important	Very important	Don't care	Somewhat important	Somewhat important	This information will be kept private.	Java, Python, C	Python	Python, simplicity and versatility	C, extremely annoying syntax	C++	I commit to a project until I reach a defined end goal before moving on to the next	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability	None - I'm only in The Programmer's Hangout	Strongly Agree	Somewhat	Not sure	Somewhat disagree	Somewhat disagree	Somewhat	This information will be kept private.	N/A	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
Europe	13-17	< 13	Student (full time)	No	Secondary/high school	Requirement	Very important	Very important	Don't care	Don't care	Somewhat important	Requirement	Don't care	Don't care	Very important	This information will be kept private.	JavaScript, Python	JavaScript	JavaScript - I find it easy to grasp/understand.	CSS/HTML - Not very good at designing webpages.	I would like to learn databases with mongoose.	I start a project but quickly lose motivation and usually don't complete a project	Never	N/A	N/A	N/A	N/A	N/A	I don't feel comfortable with my ability	The Pentester's Hangout	Somewhat disagree	Somewhat disagree	Somewhat disagree	Strongly Agree	Strongly Agree	Strongly Agree	This information will be kept private.	Discord-js	N/A	This information will be kept private.	This information will be kept private.	This information will be kept private.
