Where are you from?	How old are you?	What age did you start programming?	What gender are you?	What is your current employment status?	Do you code outside of work/studying?	What is the highest level of education you have completed?	What do you value most in a job? [Good salary]	What do you value most in a job? [Tech stack/language choice]	What do you value most in a job? [Remote work]	What do you value most in a job? [Team events/parties]	What do you value most in a job? [Healthcare benefits]	What do you value most in a job? [Vacation days]	What do you value most in a job? [Career progression]	What do you value most in a job? [Work hour flexibility]	What do you value most in a job? [Free food]	What do you value most in a job? [Commute time]	What motivates you to program?	Which language(s) have you worked with in your studies, during employment, or at home this year?	Which language(s) would you say you are most proficient in?	Which language(s) would you like to try this year?	If you work on personal projects, which of these best describes your approach?	What field(s) of programming are you interested in?	How did you find out about The Programmer's Hangout?	How long have you been a member of TPH?	What do you use TPH for?	What is the highest activity role you have? (The roles below are ordered highest first)	Have you ever been shidded?	What device(s) do you use for programming?	Which operating system do you use most often?	How many monitors do you use?	How often do you contribute to open source projects?	Why do you contribute to open source projects?	Which of these statements do you most align with?	Why have you not contributed to open source projects?	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are clear and understandable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The rules are reasonable]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation is fair]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [The moderation team communicate well]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like TPH's moderation style]	How happy are you with moderation on The Programmer's Hangout? How do you feel about these statements? (This does not include our network servers) [I like the nickname policy]	Have you ever used Threads in TPH?	Do you have any other comments you'd like to give to the moderation team? This can include suggestions and complaints. If you have a complaint about how staff handle certain scenarios please give/link specific examples. We can't improve without examples.
Asia	18-21	< 13	Male	Employed (part time)	Yes	Bachelor's degree	Somewhat important	Requirement	Very important	Don't care	Very important	Very important	Requirement	Very important	Don't care	Somewhat important	This information will be kept private.	JavaScript, C, HTML, CSS, Kotlin, TypeScript, Go, Elixir, Other	HTML, CSS, Kotlin, TypeScript, Go		I have lots of projects on the go. Switching between them keeps me motivated	Fintech, Embedded Systems, Other	Other	3+ years	Helping other programmers	Conke-Commander	Yes	Laptop, Desktop	Linux	3	Several times per week	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I'm happy with my current level of open source contribution		Somewhat	Strongly Agree	Not sure	Not sure	Somewhat	Not sure	No	This information will be kept private.
Rather not say	Rather not say	Rather not say	Rather not say	Rather not say	Yes	Rather not say	Requirement	Very important	Very important	Don't care	Somewhat important	Very important	Somewhat important	Somewhat important	Don't care	Very important	This information will be kept private.	C++	C++	C++, Python, Assembly	I start a project but quickly lose motivation and usually don't complete a project	Data Science, Embedded Systems, Game dev, Artificial Intelligence	Search engine result (google, duckduckgo, bing, yahoo, etc)	1-2 years	Helping other programmers, Getting help with programming problems, Lurking	Chatterbox	Yes	Laptop, Desktop	Windows	1	Never			I don't feel comfortable with my ability	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	Strongly disagree	No	This information will be kept private.
North America	22-25	< 13	Male	Employed (full time)	Yes	Associate degree	Somewhat important	Very important	Somewhat important	Don't care	Very important	Very important	Very important	Very important	Very important	Very important	This information will be kept private.	JavaScript, Java, Python, HTML, CSS, TypeScript	JavaScript, Java, Python, HTML, CSS, TypeScript, Lua	C++	I start a project but quickly lose motivation and usually don't complete a project	Web dev	Discord server listing website	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Chatterbox	Yes	Laptop, Desktop	Linux	4+	Never			I can't find any projects that interest me	Strongly Agree	Strongly Agree	Somewhat	Somewhat	Strongly Agree	Strongly Agree	No	This information will be kept private.
Europe	22-25	18 - 21	Male	Employed (full time)	Yes	Master's degree	Somewhat important	Somewhat important	Don't care	Don't care	Very important	Very important	Very important	Don't care	Don't care	Very important	This information will be kept private.	C++, Python, C, Lisp, Other	Python, C, Lisp	Haskell, Other	I start a project but quickly lose motivation and usually don't complete a project	Robotics, Artificial Intelligence	Search engine result (google, duckduckgo, bing, yahoo, etc)	3+ years	Chatting with other programmers, Helping other programmers	Patriotic-Procrastinator	Yes	Laptop, Desktop	Linux	2	Less than once per month but more than once per year	To fix issues in libraries I use	I'm happy with my current level of open source contribution		Somewhat disagree	Somewhat disagree	Somewhat disagree	Somewhat disagree	Somewhat disagree	Not sure	Yes	This information will be kept private.
Europe	31-40	13 - 17	Male	Employed (full time)	Yes	Master's degree	Somewhat important	Very important	Somewhat important	Don't care	Very important	Very important	Very important	Very important	Somewhat important	Somewhat important	This information will be kept private.	JavaScript, C++, Python, C, HTML, CSS, C#, Assembly	C++, Python, C	Haskell	I have lots of projects on the go. Switching between them keeps me motivated	Game dev, Other	Search engine result (google, duckduckgo, bing, yahoo, etc)	1-2 years	Chatting with other programmers, Helping other programmers, Lurking	Patriotic-Procrastinator	No but I'd like to be	Laptop, Desktop	Windows	2	Less than once per month but more than once per year	To give back to the community, To fix issues in libraries I use	I would like to contribute to more open source projects		Somewhat	Somewhat	Somewhat	Somewhat	Somewhat	Not sure	Yes	This information will be kept private.
Europe	22-25	13 - 17	Male	Employed (full time)	Yes	Secondary/high school	Very important	Very important	Somewhat important	Don't care	Very important	Requirement	Somewhat important	Somewhat important	Don't care	Requirement	This information will be kept private.	JavaScript, C++, Java, Python, C, HTML, CSS, PHP, TypeScript	PHP	PHP, Go, Ruby, Elixir	I commit to a project until I reach a defined end goal before moving on to the next	Fintech, Pharmaceuticals, Robotics, Web dev, Mobile dev, Data Science, Cyber security, Game dev, Testing, Artificial Intelligence	Other	3+ years	Chatting with other programmers, Helping other programmers	Conke-Commander	Yes	Laptop, Desktop	Windows	1	Less than once per month but more than once per year	To give back to the community, To improve my knowledge, To fix issues in libraries I use	I'm happy with my current level of open source contribution		Somewhat	Strongly disagree	Strongly disagree	Strongly disagree	Strongly Agree	Strongly Agree	Yes	This information will be kept private.
Asia	22-25	< 13	Male	Self Employed (full time)	Yes	Secondary/high school	Requirement	Very important	Requirement	Very important	Somewhat important	Somewhat important	Very important	Don't care	Don't care	Requirement	This information will be kept private.	JavaScript, Java, Python, C#	Python, C#	JavaScript	I have lots of projects on the go. Switching between them keeps me motivated	Fintech, Game dev, Other	Discord server listing website	2-3 years	Chatting with other programmers, Getting help with programming problems, Lurking	Active	No but I'd like to be	Laptop, Desktop	Windows	2	Less than once per month but more than once per year	To give back to the community, To improve my knowledge	I'm happy with my current level of open source contribution		Not sure	Not sure	Somewhat	Somewhat	Somewhat	Not sure	No	This information will be kept private.
Europe	18-21	13 - 17	Male	Student (full time)	Yes	Secondary/high school	Very important	Very important	Somewhat important	Don't care	Very important	Very important	Very important	Very important	Somewhat important	Very important	This information will be kept private.	JavaScript, C++, Java, HTML, CSS, TypeScript	JavaScript, HTML, CSS, TypeScript	Rust, Go	I have lots of projects on the go. Switching between them keeps me motivated	Web dev, Mobile dev, Game dev	Social media (twitter, facebook, myspace, bebo, etc)	2-3 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems	Conke-Commander	Yes	Laptop	Windows	1	A least once per month	To fix issues in libraries I use, Other	I'm happy with my current level of open source contribution		Strongly Agree	Strongly Agree	Somewhat	Somewhat	Somewhat	Strongly Agree	Yes	This information will be kept private.
Europe	22-25	13 - 17	Male	Employed (full time)	Yes	Bachelor's degree	Requirement	Very important	Very important	Somewhat important	Somewhat important	Very important	Requirement	Somewhat important	Don't care	Somewhat important	This information will be kept private.	JavaScript, Rust, TypeScript	JavaScript, TypeScript	Rust, Haskell, Go	I need to have some collaborators in order to keep myself motivated	Fintech, Web dev, Embedded Systems	Discord server listing website	1-2 years	Chatting with other programmers, Helping other programmers, Getting help with programming problems, Lurking	Conke-Commander	No but I'd like to be	Laptop	Linux	2	Less than once per year	To give back to the community, To improve my knowledge	I would like to contribute to more open source projects		Strongly Agree	Somewhat	Somewhat	Strongly Agree	Somewhat	Strongly Agree	Yes	This information will be kept private.
Europe	18-21	< 13	Male	Student (full time)	Yes	Primary/elementary School	Somewhat important	Somewhat important	Don't care	Don't care	Somewhat important	Somewhat important	Very important	Somewhat important	Somewhat important	Don't care	This information will be kept private.	C++, Rust, Lua	JavaScript, Lua	C++, C, Rust	I start a project but quickly lose motivation and usually don't complete a project	Embedded Systems, Game dev, Testing	Search engine result (google, duckduckgo, bing, yahoo, etc)	0-1 years	Chatting with other programmers, Lurking	I don't have a role :(	Yes	Laptop	Linux	2	Less than once per month but more than once per year	To give back to the community, To improve my knowledge	I would like to only contribute to open source projects		Somewhat	Somewhat disagree	Not sure	Not sure	Not sure	Somewhat	No, I didn't know they were enabled	This information will be kept private.
